id,sessionStartTime,sessionEndTime,sessionID
123,Tue May  7 22:08:37 2013,Tue May  7 22:08:54 2013,1,READ
123,Tue May  7 22:21:38 2013,Tue May  7 22:21:48 2013,2,READ
321,Tue May  7 22:27:08 2013,Tue May  7 22:27:19 2013,3,READ
123,Tue May  7 23:06:51 2013,Tue May  7 23:07:02 2013,4,SET
123,Wed May  8 00:37:08 2013,Wed May  8 00:37:17 2013,5,READ
123,Wed May  8 00:38:30 2013,Wed May  8 00:38:41 2013,6,READ
321,Wed May  8 00:38:58 2013,Wed May  8 00:39:08 2013,7,SET
123,Wed May  8 01:16:27 2013,Wed May  8 01:16:38 2013,8,READ
123,Thu May  9 22:43:45 2013,Thu May  9 22:43:56 2013,9,READ
123,Thu May  9 22:44:13 2013,Thu May  9 22:44:22 2013,10,READ
321,Mon May 13 18:40:45 2013,Mon May 13 18:41:03 2013,11,READ
321,Mon May 13 18:41:23 2013,Mon May 13 18:41:39 2013,12,SET
321,Mon May 13 18:43:51 2013,Mon May 13 18:44:00 2013,13,READ
321,Mon May 13 18:44:27 2013,Mon May 13 18:44:35 2013,14,SET
